sku,upc,weight,height_cm,length_cm,width_cm,uom,image_url
A062YGO,752044739964,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_gold.jpg
A062YGR,752044739971,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_grey.jpg
A062YKY,752044739988,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_kellygreen.jpg
A062YMA,752044739995,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_maroon.jpg
A062YNG,752044792105,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_neongreen.jpg
A062YNY,752044740007,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_navy.jpg
A062YOP,752044845702,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_opticpink.jpg
A062YOR,752044740014,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_orange.jpg
A062YPU,752044740021,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_purple.jpg
A062YRY,752044740038,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_royal.jpg
A062YSC,752044740045,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_scarlet.jpg
A062YT,752044740052,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_teal.jpg
A062YVG,752044925206,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_vegasgold.jpg
A062YW,752044740069,0.1250,3.00,16.60,4.70,EA,http://champrosports.com/images/product/large/A062_1_white.jpg
A063FG3X,752044863928,0.3950,5.10,10.60,11.50,EA,http://champrosports.com/images/product/large/A063_1_forestgreen.jpg
A063GO2X,752044863973,0.3750,5.00,10.60,12.90,EA,http://champrosports.com/images/product/large/A063_1_gold.jpg
A063MS,752044864079,0.2800,5.10,11.40,9.10,EA,http://champrosports.com/images/product/large/A063_1_maroon.jpg
A063O3X,752044864161,0.3950,5.10,10.60,11.50,EA,http://champrosports.com/images/product/large/A063_1_orange.jpg
A063P3X,752044864222,0.3950,5.10,10.60,11.50,EA,http://champrosports.com/images/product/large/A063_1_purple.jpg
A063PS,752044864253,0.2800,5.10,11.40,9.10,EA,http://champrosports.com/images/product/large/A063_1_purple.jpg
A063RY3X,752044864284,0.3950,5.10,10.60,11.50,EA,http://champrosports.com/images/product/large/A063_1_royal.jpg
A063RYS,752044864314,0.2800,5.10,11.40,9.10,EA,http://champrosports.com/images/product/large/A063_1_royal.jpg
A063W2X,752044864390,0.3750,5.00,10.60,12.90,EA,http://champrosports.com/images/product/large/A063_1_white.jpg
A063W3X,752044864406,0.3950,5.10,10.60,11.50,EA,http://champrosports.com/images/product/large/A063_1_white.jpg
A063WS,752044864437,0.2800,5.10,11.40,9.10,EA,http://champrosports.com/images/product/large/A063_1_white.jpg
A063WXL,752044864444,0.3650,5.10,11.70,10.20,EA,http://champrosports.com/images/product/large/A063_1_white.jpg
A068NY3X,752044889126,0.4050,5.60,13.80,12.30,EA,http://champrosports.com/images/product/large/A068_1_navy.jpg
A068RY3X,752044889188,0.4050,5.60,13.80,12.30,EA,http://champrosports.com/images/product/large/A068_1_royal.jpg
A069B2X,752044978011,0.4600,5.60,14.40,14.70,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A069B3X,752044978028,0.4650,5.60,14.60,14.40,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A069B4X,752044978035,0.4650,5.60,14.60,14.40,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A069BL,752044978042,0.4600,5.60,14.60,14.40,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A069BM,752044978059,0.4650,5.60,14.60,14.40,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A069BS,752044978066,0.4600,5.60,14.60,14.40,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A069BXL,752044978073,0.4600,5.60,14.60,14.40,EA,http://champrosports.com/images/product/large/A069_1_black.jpg
A07,752044223494,0.5900,1.40,30.90,22.90,EA,http://champrosports.com/images/product/large/A07_1_.jpg
A071B2X,752044978080,0.0000,6.30,17.60,17.10,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A071B3X,752044978097,0.0000,6.00,17.90,17.60,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A071B4X,752044978103,0.0000,6.30,18.60,18.20,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A071BL,752044978110,0.0000,6.50,16.90,16.70,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A071BM,752044978127,0.0000,5.80,17.40,17.30,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A071BS,752044978134,0.0000,6.00,16.40,15.90,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A071BXL,752044978141,0.0000,7.40,29.50,10.10,EA,http://champrosports.com/images/product/large/A071_1_black.jpg
A072B,752044037701,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_black.jpg
A072FG,752044037718,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_forestgreen.jpg
A072GO,752044037763,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_gold.jpg
A072MA,752044037770,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_maroon.jpg
A072NY,752044037787,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_navy.jpg
A072OR,752044037794,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_orange.jpg
A072PU,752044037800,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_purple.jpg
A072RY,752044037817,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_royal.jpg
A072SC,752044037824,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_scarlet.jpg
A072W,752044037831,0.0000,3.10,25.20,5.30,EA,http://champrosports.com/images/product/large/A072_1_white.jpg
A072YB,752044037848,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_black.jpg
