retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
4040,Rwb,4318,RUBY,2,1,2,no,review
4040,Rwb,509,Red,2,1,598,yes,review
3327,Ry/Gy,5762,Sy/Gp,2,1,2,no,review
3790,Sapk,4320,Sage,2,1,15,yes,review
3790,Sapk,810,Sand,2,1,0,yes,review
3790,Sapk,3335,Sap,1,1,6,no,review
3790,Sapk,539,Saye,2,1,2,no,review
4322,SC/ST,2431,Na/St,2,1,1,no,review
4322,SC/ST,4313,RO/ST,2,1,2,no,review
2692,Sgg,2042,Dgr,2,1,8,no,review
2692,Sgg,3023,Dsg,2,1,1,no,review
2692,Sgg,2339,Ga,2,1,1,no,review
2692,Sgg,3403,Gc,2,1,9,no,review
2692,Sgg,1146,Ig,2,1,1,no,review
2692,Sgg,2843,Lgt,2,1,2,no,review
2692,Sgg,2646,Mag,2,1,2,no,review
2692,Sgg,2885,SGH,1,1,3,no,review
2692,Sgg,4320,Sage,2,1,15,yes,review
2692,Sgg,3335,Sap,2,1,6,no,review
2209,Shgr,4133,BLGR,2,1,6,no,review
2209,Shgr,4144,BSBGR,2,1,5,no,review
2209,Shgr,2042,Dgr,2,1,8,no,review
2209,Shgr,2635,Gsygr,2,1,1,no,review
2209,Shgr,1279,Htgr,2,1,5,no,review
2209,Shgr,1110,Negr,2,1,1,no,review
2209,Shgr,2885,SGH,2,1,3,no,review
2209,Shgr,4331,SLTGR,2,1,4,no,review
2209,Shgr,2207,Safgr,2,1,2,no,review
2209,Shgr,4320,Sage,2,1,15,yes,review
2209,Shgr,2692,Sgg,2,1,1,no,review
4555,Si/Black,5372,Vg/Black,2,1,4,no,review
3343,Smgr,4133,BLGR,2,1,6,no,review
3343,Smgr,4144,BSBGR,2,1,5,no,review
3343,Smgr,2042,Dgr,2,1,8,no,review
3343,Smgr,2635,Gsygr,2,1,1,no,review
3343,Smgr,1279,Htgr,2,1,5,no,review
3343,Smgr,2145,Mgrn,2,1,10,no,review
3343,Smgr,2155,Mr,2,1,1,no,review
3343,Smgr,1110,Negr,2,1,1,no,review
3343,Smgr,2885,SGH,2,1,3,no,review
3343,Smgr,4331,SLTGR,2,1,4,no,review
3343,Smgr,2207,Safgr,2,1,2,no,review
3343,Smgr,4320,Sage,2,1,15,yes,review
3343,Smgr,2692,Sgg,2,1,1,no,review
