Internal ID,Name,Abbreviation
7436,Halo Grey,Halo Grey
2093,Hbk,Hbk
2096,Hdt,Hdt
1144,He,He
4211,HEATHER,HEATHER
7565,Heather Cardinal,HeatherCardinal
7466,Heather Coral,Heather Coral
7579,Heather Dust,Heather Dust
7580,Heather Forest,Heather Forest
1106,Heather Forest Green,Heather Forest
7452,Heather Green,Heather Green
1009,Heather Grey,Hg
1264,Heather Grey,Heather Grey
7499,Heather Grey/Beige/Amber Gold,Grey/Beige/Gold
7513,Heather Grey/Beige/Ocean Blue,HG/Beige/OcnBlu
7517,Heather Grey/Light Charcoal/Ocean Blue,HG/LtChar/OcBlu
7516,Heather Grey/Light Charcoal/Varsity Red,HG/LtChar/Red
7467,Heather Navy,Heather Navy
7601,Heather Navy Camo,Heath Navy Camo
1270,Heather Purple,Hpu
1271,Heather Red,Hrd
1272,Heather Royal,Heather Royal
2363,Heathered Charcoal,Heathr Charcoal
7571,Heathered Grey,Heathered Grey
7572,Heathered Neptune Blue,Heather Neptune
7570,Heathered Teal,Heathered Teal
1258,Hegr,Hegr
6795,Hegr/White,Hegr/White
7591,Heliconia,Heliconia
4218,HEOL,HEOL
2370,Hg/Hch,Hg/Hch
2104,Hg/Na,Hg/Na
4221,HG/NAVY,HG/NAVY
4222,HIBISCUS,HIBISCUS
2371,Hlb,Hlb
3048,Hot Coral,Hot Coral
1267,Hot Pink,Hp
7463,Hot Pink/Black,Hot Pink/Black
5960,Htdete,Htdete
1279,Htgr,Htgr
1001,Htmltygrn,Htmltygrn
1107,Htmv,Htmv
1031,Htna,Htna
2118,Htrmve,Htrmve
2397,Htrpsbl,Htrpsbl
2399,Htrstl,Htrstl
1013,Icbl,Icbl
7254,Ice Blue,Ice Blue
6191,Ice Grey,Ice Grey
1146,Ig,Ig
3054,Ig/Wh,Ig/Wh
1034,In,In
1093,Indigo,Indigo
7567,Indigo Blue,Indigo Blue
3056,Insignia Blue,Insignia Blue
6425,Iron,Iron
2641,Iron Grey,Iron Grey
7614,Iron Grey/White,Iron Grey/White
2408,Iv,Iv
4240,Ivory,Ivory
4241,J.Navy,J.Navy
3722,Jade Dome,Jade Dome
741,Jet Black,Jet Black
7519,Jewel Green,Jewel Green
489,Ke,Ke
3532,Keblht,Keblht
3417,Kelly,Kelly
4,Kelly Green,Kelly Green
854,Kelly Green/White,Kg/Wh
1290,Kh,Kh
2130,Khaki,Khaki
7515,Khaki/Brown/Khaki,Khak/Brwn/Khak
7548,Khaki/Coffee,Khaki/Coffee
7443,Lagoon Blue,Lagoon Blue
4245,LAUGR,LAUGR
4246,Lavender,Lavender
1033,Lgr,Lgr
2843,Lgt,Lgt
3271,Ligarohe,Ligarohe
1297,Light Blue,Lt Blue
742,Light Blue,Light Blue
811,Light Blue,Lb
868,Light BLue/White,Lb/Wh
2279,Light Grey,Ltgr
4255,Light Grey Heather,LiGrHe
2281,Light Heather Gray,Light Hthr Grey
7553,Light Khaki/White,Light Khaki/Whi
4249,LIGHT PINK,LIGHT PINK
6198,Light Steel,Light Steel
7569,Light Washed Denim,Li Wa Denim
799,Lilac,Lilac
490,Lime,Lime
7596,Lime Burst,Lime Burst
5974,Ltb,Ltb
6436,Ltgo,Ltgo
4256,LTHEGR,LTHEGR
721,M. Gray,Mdgr
7484,Macchiato,Macchiato
2646,Mag,Mag
4259,MARED,MARED
7493,Marina,Marina
7609,Marina Blue,Marina Blue
1848,Marine,Marine
7526,Maritime Frost,Maritime Frost
574,Maroon,Maroon
554,Maroon Heather,Maroon Heather
6440,Maroon/B/White,Maroon/B/White
900,Maroon/Charcoal,Ma/Ch
617,Maroon/Graphite,Maroon/Gp
7558,Maroon/Gray/White,Maroon/GR/WH
662,Maroon/White,Maroon/White
6830,Maroon/White/Maroon,Maroon/Wt/Marn
2647,Marsh,Marsh
4260,Matte Black,Matte Black
6203,Matte Charcoal,Matte Charcoal
3736,Matte Maroon,Matte Maroon
2849,Mb/Bk,Mb/Bk
2421,Mbk,Mbk
4024,Mdgry,Mdgry
3543,Med Blue,Med Blue
3280,Med Gr,Med Gr
951,Medium Grey,Medium Grey
802,Medium Grey Heather,Mgh
4025,Meld Grey Heather,MeGrHe
7544,Metal Grey,Metal Grey
4262,Metallic Silver,Metallic Silver
7562,Metro Blue,Metro Blue
988,Mg,Mg
2651,Mgnt,Mgnt
805,Mgr,Mgr
2145,Mgrn,Mgrn
3279,Midnight Navy,Midnight Navy
1121,Migr,Migr
7604,Military Camo,Military Camo
7593,Military Green,Military Green
7468,Military Green Heather,MilGreenHe
1109,Mint,Mint
7563,Mint Green,Mint Green
3286,Mist,Mist
3755,Mna,Mna
4029,Mnna,Mnna
4268,Mod Gray,Mod Gray
4030,Mod Grey,Mod Grey
4032,Mod Grey,Modgrey
2155,Mr,Mr
2157,Mustard,Mustard
952,Mwh,Mwh
7561,Mystic,Mystic
2431,Na/St,Na/St
2656,Nahe,Nahe
2169,Natb,Natb
1028,Natural,Natural
7523,Natural Heather,Natural Heather
2171,Natural/Black,Natural/Black
531,Navy,Navy
722,Navy,Navy
7595,Navy Blue,Navy Blue
2432,Navy Frost,Navy Frost
745,Navy Heather,Navy Heather
4874,Navy/Ca,Navy/Ca
906,Navy/Charcoal,Ny/Ch
762,Navy/Columbia Blue,Na/Cb
803,Navy/Gold/White,Na/Gd/Wh
555,Navy/Graphite,Na/Gp
957,Navy/Grey,Na/Gr
831,Navy/Grey/White,Na/Gr/Wh
556,Navy/Heather Grey,Na/Hg
904,Navy/Navy,Navy/Navy
5697,Navy/Orange,Navy/Orange
813,Navy/Red,Na/Rd
4879,Navy/Si,Navy/Si
7575,Navy/Steel Grey,Navy/Steel Grey
7549,Navy/Teal,Navy/Teal
1310,Navy/White,Nv/Wh
601,Navy/White,Navy/White
3432,Ne Ye,Ne Ye
3296,Ne/Yl,Ne/Yl
1110,Negr,Negr
2175,Neon Blue,Neon Blue
3298,Neon Green,Neon Green
1130,Neon Orange,Neor
3081,Neon Orange,Neon Orange
1021,Neon Pink,Neon Pink
7586,Neon Rainbow,Neon Rainbow
4280,Neon Violet,Neon Violet
1111,Neon Yellow,Neon Yellow
3299,Nepin,Nepin
2436,New Navy,New Navy
7607,Newport Blue,Newport Blue
3084,Neyl,Neyl
5991,Ngrn,Ngrn
7522,Night Owl,Night Owl
7489,Nordic Green,Nordic Green
6460,Nyht/Navy,Nyht/Navy
4288,OAT/MUSTARD,OAT/MUSTARD
7518,Oats,Oats
3304,Ocean Rainbow,Ocean Rainbow
2444,Odgrn,Odgrn
3435,Oh,Oh
1854,Olive,Olive
3436,Olive/Realtree,Olive/Realtree
769,Onix,Onix
7610,Opal Blue Heather,Opal Bl Heather
7306,Optic Yellow,Optic Yellow
576,Orange,Orange
7543,Orange Crush,Orange Crush
1315,Orange/Black,Or/Bk
663,Orange/Black,Orange/Black
664,Orange/White,Or/Wh
6213,Orc,Orc
4291,ORCH,ORCH
3771,Orchid,Orchid
4292,ORHA,ORHA
6216,Ox/Navy,Ox/Navy
491,Oxford,Oxford
3772,Oy,Oy
4296,Parcel Blue,Parcel Blue
4297,PARCH,PARCH
7573,Pastel Rainbow,Pastel Rainbow
2189,Peach,Peach
2865,Pegrht,Pegrht
1322,Pep,Pep
1323,Pepper,Pepper
7495,Peri Blue,Peri Blue
2668,Pewter,Pewter
2446,Pf/Gf,Pf/Gf
2447,Pfgf,Pfgf
4547,Pi/White,Pi/White
989,Pine,Pine
493,Pink,Pink
7602,Pink Camo,Pink Camo
3094,Pink Raspberry,Pink Raspberry
7539,Pink Rave/Aqua Float,Pink Rave/Aqua
3095,Pink Rush Heather,Pink Rush Heath
4300,PITCH GRAY,PITCH GRAY
3100,Pond Blue Heather,Pond Blue Hthr
7457,Powder Blue/Black,Powder Blue/BK
7568,Prairie Dust,Prairie Dust
1080,Premium Heather,Premium Heather
747,Pro Kelly Green,Pro Kelly Green
12,Purple,Purple
2451,Purple Frost,Purple Frost
7071,Purple/St,Purple/St
665,Purple/White,Purple/White
3310,Pwtr,Pwtr
3555,Quiet Shade Grey,QuietShadeGrey
7612,Quiet Shade Grey Heather,QuietShaGrey He
7613,Quiet Shade Grey Heather/Black,QuietShGrHe/Bk
2452,Radish/Black,Radish/Black
6922,Raspb,Raspb
4303,RD,RD
3315,Rd/Hg,Rd/Hg
5716,Rdwhna,Rdwhna
3438,Realtree Edge,Realtree Edge
7542,Realtree Edge/Coyote Brown,Realtree/Coyote
2683,Rebl,Rebl
509,Red,Red
2456,Red Frost,Red Frost
537,Red Heather,Red Heather
623,Red/Black,Red/Black
1331,Red/Black,Rd/Bk
4304,Red/Black Buffalo Check,Red/Buffalo
5567,Red/Black/Black,Red/Black/Black
579,Red/Graphite,Red/Gp
5054,Red/Grey,Red/Grey
1869,Red/Royal,Rd/Ro
5361,Red/Royal/White,Red/Royal/Wht
6228,Red/Si,Red/Si
921,Red/White,Red/White
624,Red/White,Red/White
683,Red/White/Black,Red/White/Black
6001,Red/White/Blue,R/W/B
5727,Red/White/Navy,Red/White/Navy
5568,Red/White/Red,Red/White/Red
1335,Red/White/Royal,Rd/Wh/Ro
2453,River Blue Navy,River Blue Navy
3562,Ro/Ghtr,Ro/Ghtr
3323,Ro/Hg,Ro/Hg
4313,RO/ST,RO/ST
3111,Ro/Vihe,Ro/Vihe
3789,Ro/Wh/Sv,Ro/Wh/Sv
4316,ROHTR/WH,ROHTR/WH
7453,Rosewater Pink,Rosewater Pink
7505,Rosewood,Rosewood
565,Royal,Royal
2463,Royal Frost,Royal Frost
510,Royal Heather,Roh
564,Royal Heather,Rohtr
1345,Royal/Black,Ry/Bk
1336,Royal/Black,Royal/Black
1337,Royal/Black/White,Ro/Bk/Wh
627,Royal/Carbon,Royal/Crb
832,Royal/Grey/White,Ro/Gr/Wh
5247,Royal/Hg,Royal/Hg
925,Royal/Light Gold,Ro/Lg
4894,Royal/Navy,Royal/Navy
5575,Royal/Red,Royal/Red
1870,Royal/Silver,Royal/Silver
929,Royal/White,Roy/Wh
653,Royal/White,Royal/White
6483,Royal/White/Red,Royal/White/Red
4318,RUBY,RUBY
4040,Rwb,Rwb
3327,Ry/Gy,Ry/Gy
3328,Sa/Gr,Sa/Gr
992,Safety Green,Sygn
1066,Safety Green,Safety Green
1349,Safety Orange,Sftyor
3445,Safety Orange,Sfor
7598,Safety Orange/Reflective,Saf Orange/Refl
6243,Safety Pink,Safety Pink
1153,Safety Yellow,Safety Yellow
7599,Safety Yellow/Reflective,Saf Yellow/Refl
2207,Safgr,Safgr
4320,Sage,Sage
810,Sand,Sand
1149,Saor,Saor
3335,Sap,Sap
6238,Sapi,Sapi
3790,Sapk,Sapk
748,Sapphire,Sapphire
539,Saye,Saye
4042,Sc/Bk/Wh,Sc/Bk/Wh
4322,SC/ST,SC/ST
5,Scarlet,Scarlet
677,Scarlet/Black/White,Sc/Black/White
936,Scarlet/White,Scwh
934,Scarlet/White/Black,Sc/Wh/Bk
5459,Scarlet/White/Royal,Scar/Wht/Ryl
2208,Scbl,Scbl
7507,Scooter Red Heather,Scooter Red
4324,Scuba Blue,Scuba Blue
6241,Sfgn,Sfgn
2692,Sgg,Sgg
2885,SGH,SGH
2209,Shgr,Shgr
7491,Shiitake,Shiitake
4555,Si/Black,Si/Black
4902,Si/Navy,Si/Navy
6012,Si/Red,Si/Red
495,Silver,Silver
1350,Silver Grey,Silver Grey
4330,Silver Tan,Silver Tan
606,Silver/White,Silver/White
3341,Sky Blue,Sky Blue
4331,SLTGR,SLTGR
3343,Smgr,Smgr
4332,Smoke Grey,Smoke Grey
4333,SNOW LEOPARD/WH,SNOW LEOPARD/WH
4334,SOASPH,SOASPH
2891,Sobe,Sobe
4321,Solid Athletic Grey,Solid Athl Grey
7597,Solid Black,Solid Black
4336,Solid Black Triblend,Solid Black TB
6939,Solid Red,Solid Red
1073,Spgr,Spgr
1152,Sport Grey,Sport Grey
1365,Stealth,Stealth
4735,Stealth/Black,Stealth/Black
496,Steel,Steel
4340,Steel Grey,Steel Grey
3448,Stone Blue,Stone Blue
7508,Stone Pink,Stone Pink
7486,Stone Wash Denim,StoneWash Denim
656,Sublimation,Sublimation
4343,Summit White,Summit White
3566,Swiss Blue,Swiss Blue
5762,Sy/Gp,Sy/Gp
7465,Tactical Green,Tactical Green
1046,Tan,Tan
7449,Tangerine,Tangerine
7478,Taxi,Taxi
750,Teal,Teal
7450,Teal Ice,Teal Ice
7587,Team Kelly Green,Team KellyGreen
753,Team Navy,Team Navy
7589,Team Power Red/Clear Grey/White,Power Red/Gr/Wh
754,Team Purple,Team Purple
7551,Team Purple Heather,Team Purple Hea
7618,Team Teal,Team Teal
760,Texas Orange,Texas Orange
4351,Titanium/Black,Titanium/Black
2895,Tmcrd,Tmcrd
4353,TRAWND,TRAWND
976,Trbl,Trbl
5765,Trd/Stlth,Trd/Stlth
3455,Trh,Trh
2898,Trnv,Trnv
3349,Trnvy,Trnvy
6251,Troblu,Troblu
7584,True Blue/White,True Blue/White
7594,True Celadon,True Celadon
1059,True Navy,Trna
7521,True Navy Heather,TrueNavyHeather
7576,True Navy/True Navy Heather,True Navy/NaHe
2702,True Red,True Red
759,True Royal,True Royal
2703,Tryl,Tryl
1019,Turquoise,Turquoise
2471,Turquoise Frost,Turquoise Frost
4358,Ultramarine Blue,Ultramarine
2977,Unassigned,Unassigned
1890,University Red,University Red
2473,Vabl,Vabl
7475,Valor Blue,Valor Blue
2474,Valor Blue,Vbl
6945,Vanilla,Vanilla
7376,Varsity Purple,Varsity Purple
497,Vegas Gold,Vegas Gold
5372,Vg/Black,Vg/Black
3124,Vh,Vh
5376,Vhe/White,Vhe/White
6031,Victory Blue,Victory Blue
1083,Vinpur,Vinpur
4361,Vintage Heather/Black,VintageHe/Black
