style,color_name,size,upc_to_write,netsuite_item_id,match_method
993M,Royal,Medium,00885306018795,35934,option:name
993M,Royal,Large,00885306018801,35935,option:name
993M,Royal,X-Large,00885306018818,35936,option:name
993M,Royal,2X-Large,00885306018597,35937,option:name
993M,Royal,3X-Large,00885306018603,35938,option:name
993M,Black Heather,Small,00885306178611,41339,option:name
993M,Black Heather,Medium,00885306178628,41340,option:name
993M,Black Heather,Large,00885306178635,41341,option:name
993M,Black Heather,X-Large,00885306178642,41342,option:name
993M,Black Heather,2X-Large,00885306178710,41343,option:name
993M,Black Heather,3X-Large,00885306178727,41344,option:name
993M,Safety Orange,Small,00885306102128,35939,option:heur
993M,Safety Orange,Medium,00885306102135,35940,option:heur
993M,Safety Orange,Large,00885306102142,35941,option:heur
993M,Safety Orange,X-Large,00885306102159,35942,option:heur
993M,Safety Orange,2X-Large,00885306102166,35943,option:heur
993M,Safety Orange,3X-Large,00885306102173,35944,option:heur
993M,Athletic Heather,2X-Large,00885306250652,41262,option:name
993M,Athletic Heather,3X-Large,00885306250669,41263,option:name
993M,Athletic Heather,Large,00885306250577,41260,option:name
993M,Athletic Heather,Medium,00885306250560,41259,option:name
993M,Athletic Heather,Small,00885306250553,41258,option:name
993M,Athletic Heather,X-Large,00885306250584,41261,option:name
437M,Black,Small,00194422163556,182241,option:name
437M,Maroon,Small,00194422163105,182241,mainframe
437M,Maroon,Medium,00194422163280,182234,option:name
437M,Maroon,Large,00194422163372,182233,option:name
437M,Maroon,X-Large,00194422163310,182232,option:name
437M,Maroon,2X-Large,00194422163907,182231,option:name
437M,Maroon,3X-Large,00194422164324,182235,mainframe
437M,Gold,Small,00194422162788,182240,option:name
437M,Gold,Medium,00194422163075,182239,option:name
437M,Gold,Large,00194422163143,182238,option:name
437M,Gold,X-Large,00194422162610,182237,option:name
437M,Gold,2X-Large,00194422164225,182236,option:name
437M,Gold,3X-Large,00194422164157,182235,option:name
K420,Black,Small,00191265366007,50287,option:name
K420,Black,Medium,00191265366021,50288,option:name
K420,Black,Large,00191265366052,50289,option:name
K420,Black,X-Large,00191265366069,50290,option:name
K420,Black,2X-Large,00191265365987,50291,option:name
K420,Black,3X-Large,00191265366014,50292,option:name
K420,Red,X-Small,00191265367394,50308,mainframe
K420,Red,Small,00191265367400,50308,option:name
K420,Red,Medium,00191265367431,50310,option:name
K420,Red,Large,00191265367448,50311,option:name
K420,Red,X-Large,00191265367462,50312,option:name
K420,Red,2X-Large,00191265367387,50313,option:name
K420,Red,3X-Large,00191265367417,50314,option:name
K420,Red,4X-Large,00191265367424,50315,option:name
K420,White,X-Small,00191265367899,50324,mainframe
K420,White,Small,00191265367905,50324,option:name
K420,White,Medium,00191265367929,50326,option:name
K420,White,Large,00191265367950,50327,option:name
K420,White,X-Large,00191265367967,50328,option:name
K420,White,2X-Large,00191265367882,50329,option:name
K420,White,3X-Large,00191265367912,50330,option:name
K420,Light Blue,Small,00191265366809,52638,option:name
K420,Light Blue,Medium,00191265366823,52639,option:name
K420,Light Blue,Large,00191265366854,52640,option:name
K420,Light Blue,X-Large,00191265366861,52641,option:name
K420,Light Blue,2X-Large,00191265366786,52642,option:name
K420,Light Blue,3X-Large,00191265366816,52643,option:name
K420,Red,5X-Large,00191265367455,50316,option:name
K420,Royal,Small,00191265367516,50318,option:name
K420,Royal,Medium,00191265367530,50319,option:name
K420,Royal,Large,00191265367554,50320,option:name
K420,Royal,X-Large,00191265367561,50321,option:name
K420,Royal,2X-Large,00191265367486,50322,option:name
K420,Royal,3X-Large,00191265367509,50323,option:name
L420,Red,Small,00191265147200,53784,option:name
L420,Red,Medium,00191265147224,53785,option:name
L420,Red,Large,00191265147231,53786,option:name
L420,Red,X-Large,00191265147248,53787,option:name
L420,White,X-Small,00191265147491,53796,option:name
L420,White,Small,00191265147521,53797,option:name
L420,White,Medium,00191265147545,53798,option:name
L420,White,Large,00191265147552,53799,option:name
L420,White,X-Large,00191265147569,53800,option:name
L420,Black,X-Small,00191265146371,53768,option:name
L420,Black,Small,00191265146401,53769,option:name
L420,Black,Medium,00191265146418,53770,option:name
L420,Black,Large,00191265146432,53771,option:name
L420,Black,X-Large,00191265146449,53772,option:name
L420,Black,2X-Large,00191265146388,53773,option:name
L420,Red,2X-Large,00191265147187,53788,option:name
L420,White,2X-Large,00191265147507,53801,option:name
L420,Royal,Small,00191265147286,53790,option:name
L420,Royal,Medium,00191265147293,53791,option:name
L420,Royal,Large,00191265147316,53792,option:name
L420,Royal,X-Large,00191265147323,53793,option:name
L420,Royal,2X-Large,00191265147262,53794,option:name
L420,Red,3X-Large,00191265147194,53789,option:name
L420,White,3X-Large,00191265147514,53802,option:name
